Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2019,"10        ",Female,15,Right-Handed,163,24,162,2,"Rail (Train/Tram/Subway)",45,.361,36,Dancing,100,100,100,100,90,90,24.3,"Left foot",82.55,82.55,"Same length",November,Fall,No,No,"No favorite",Water,English,7,9,3,"Yes - broadband connection","Text messaging",15,10,0,0,10,14,20,0,0,2,8,3,0,.5,"A lot","Graduate degree",Pop,Invisibility,Happy,Actor,Environment
USA,NY,2022,"12        ",Female,18,Right-Handed,163,24,166,3,"Rail (Train/Tram/Subway)",105,.737,,Walking/Hiking,839,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,"A lot","Graduate degree",Pop,Telepathy,Happy,Friend,"Education/Youth development"
USA,NY,2019,"8         ",Female,13,Right-Handed,155,23,162.5,1,Bus,10,.512,43,Athletics,830,550,856,500,230,733,24,"Left foot",80,80,"Same length",January,Summer,No,No,Seafood,Water,"Mathematics and statistics",7,9,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,40,0,1,7,7,0,16,18.5,1.5,60,6,0,3,Some,"Graduate degree","Rhythm and blues (R&B)","Freeze time",Healthy,Politician,"International aid"
USA,NY,2019,"9         ",Female,15,Right-Handed,160,24,15,1,"Rail (Train/Tram/Subway)",45,1.04,64,Other,449,449,444,620,150,701,25,"Same length",90,80,"Index finger",April,Spring,Yes,No,Poultry,Juice,English,8,6,3,"Yes - other","Text messaging",20,10,12,12,5,12,0,0,20,20,12,0,0,12,Some,"Graduate degree",Reggae,Telepathy,Happy,Relative,"International aid"
USA,NY,2022,"12        ",Male,18,Right-Handed,176,25,179,2,"Rail (Train/Tram/Subway)",50,0.698,41,Soccer,700,850,800,800,750,900,25,"Same length",100,105,"Ring finger",February,Summer,Yes,No,"Rice/Noodle dishes",Water,Science,7,12,4,"Yes - broadband connection","Internet chat or instant messaging",30,60,60,1,15,5,8,3,15,4,50,0,0,3,Some,"Graduate degree","Rock and roll","Freeze time",Happy,"Sports person",Health
USA,NY,2020,"6         ",Female,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2022,"11        ",Female,16,Right-Handed,170,25.9,170,1,Bus,40,0.375,49,Walking/Hiking,1000,1000,1000,717,588,802,25,"Same length",80,65,"Index finger",September,Fall,No,No,"No favorite",Water,English,8,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",3,1,35,0,4,10,0,0,24,4,40,15,22,10,"A lot","Graduate degree",Pop,"Freeze time",Rich,Actor,Health
USA,NY,2016,"12        ",Female,17,Right-Handed,163,24,169,3,,45,.423,65,Other,500,600,700,800,900,1000,24,"Same length",70,80,"Ring finger",June,Spring,No,No,Salads,Coffee,Languages,6,10,4,"Yes - other","Internet chat or instant messaging",3,3,10,0,4,3,1,1,50,60,80,10,10,5,Some,"Graduate degree",Pop,Fly,Happy,"Coach or club leader",Health
USA,NY,2012,"6         ",Female,11,Right-Handed,155,22,161,1,Bus,5,0.4,36,Dancing,497,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2022,"12        ",Female,17,Right-Handed,160,23,163,1,"Rail (Train/Tram/Subway)",100,0.77,43,"Table Tennis",1000,900,1000,1000,700,800,24,"Left foot",90,93,"Ring finger",October,Fall,No,No,"No favorite",Water,Other,8,10,5,"Yes - broadband connection","Text messaging",50,100,2,20,20,15,2,0,30,30,80,4,10,3,Some,"Graduate degree",Pop,Fly,Happy,Relative,Environment
